'NazevZarizeni','Obec'
'Fyzioterapie Ostrava s.r.o.','Ostrava'
'ARCHIPEL MEDIA s.r.o.','Ostrava'
'MUDr. Miroslav Koliba s.r.o.','Ostrava'
'GYNET AH spol. s r.o.','Ostrava'
'GYNET AH spol. s r.o.','Ostrava'
'Suppmed Orthodontics s.r.o.','Ostrava'
'Bc. ZUZANA SOVADINOVÁ DiS.','Ostrava'
'Ledax Ostrava o.p.s.','Ostrava'
'MUDr. FILIP HAIDUK','Ostrava'
'Klára Dominiková','Ostrava'
'MUDr. CHRISTIAN KUFA','Ostrava'
'MUDr. MARCELA RAJNOVÁ','Ostrava'
'PRAKTIKová s.r.o.','Ostrava'
'DOKTOR ZOUBEK s.r.o.','Ostrava'
'EUC PLS s.r.o.','Ostrava'
'Alzheimercentrum Zlín z.ú.','Ostrava'
'EuroPainClinics Ostrava a.s.','Ostrava'
'Mgr. Michal Hlavsa','Ostrava'
'Spectria Zubní laboratoř s.r.o.','Ostrava'
'Mgr. Lucie Antošíková','Ostrava'
'MUDr. JAN PAVLÍČEK Ph.D.','Ostrava'
'NIKI-dětský svět, s.r.o','Ostrava'
'Onkogyn s.r.o.','Ostrava'
'Pilulka Lékárny a.s.','Ostrava'
'MUDr. Mozamel Hamidi s.r.o.','Ostrava'
'synlab czech s.r.o., odběrová místnost','Ostrava'
'OK REHABILITACE s.r.o.','Ostrava'
'Ovaprakt s.r.o.','Ostrava'
'Družstvo lékařů Diagnostického centra','Ostrava'
'MUDr. Hana Vaňáková, s.r.o.','Ostrava'
'MUDr. JANA HARAZIMOVÁ','Ostrava'
'AVE Pharma s.r.o., Lékárna AVE','Ostrava'
'Dentist Care s.r.o.','Ostrava'
'MUDr. JAN UHLÍŘ','Ostrava'
'Mgr. ALENA PLEŠKOVÁ','Ostrava'
'Národní Centrum Tkání a Buněk a.s.','Ostrava'
'ZUZANA TKACZIKOVÁ','Ostrava'
'MUDr. Petr Taraba','Ostrava'
'Happy Mamy s.r.o.','Ostrava'
'MUDr. Pavel Šmehlík','Ostrava'
'GR Dental Avenue s.r.o.','Ostrava'
'ARCADA NeuroMedical Center, s.r.o.','Ostrava'
'EVE Dentes s.r.o.','Ostrava'
'Domov Slunovrat, Ostrava-Přívoz, příspěvková organizace','Ostrava'
'MOJE AMBULANCE, domácí péče s.r.o.','Ostrava'
'Městská nemocnice Ostrava, příspěvková organizace, CDZ, Záchytná stanice','Ostrava'
'MUDr. Jan Dostalík s.r.o.','Ostrava'
'Health and Beauty shops s.r.o., Lékárna LEMON','Ostrava'
'MDDr. Denisa Dušková','Ostrava'
'MDDr. VERONIKA BLAŽKOVÁ','Ostrava'
'TEREZA VARGOVÁ','Ostrava'
'Sýkorová Dent s.r.o.','Ostrava'
'Mgr. Tomáš Bolek','Ostrava'
'TandeM Stomatologie s.r.o.','Ostrava'
'Alergomed s.r.o.','Ostrava'
'Reha-Fyzio s.r.o.','Ostrava'
'Livian s.r.o.','Ostrava'
'DIAMO, státní podnik, odštěpný závod HBZS, PL pro dospělé, doprava','Ostrava'
'FYZARTIS s.r.o.','Ostrava'
'Renturi s.r.o.','Ostrava'
'Medela-péče o seniory o.p.s.','Ostravice'
'Hotel Odra s.r.o','Ostravice'
'MUDr. Michaela Strejčková','Ostroměř'
'Doktor Hynek s.r.o.','Ostrov'
'FEMINOS s.r.o','Ostrov'
'W DENT s.r.o.','Ostrov'
'Agentura KATKA - Agentura domácí zdravotní péče s.r.o.','Ostrov'
'Oblastní charita Ostrov','Ostrov'
'Agentura KATKA - Agentura domácí zdravotní péče s.r.o.','Ostrov'
'SUTOR KV s.r.o.','Ostrov'
'SUTOR KV s.r.o.','Ostrov'
'Zdravotnická záchranná služba Karlovarského kraje, příspěvková organizace','Ostrov'
'The Dentist s.r.o.','Ostrov'
'MUDr. Jiří Adam','Ostrov'
'MUDr. Igor Karpowicz','Ostrov'
'REHABILITACE Kábrtová s.r.o.','Ostrov'
'LENKA NÉMETHOVÁ','Ostrov'
'ORTO-CENTRUM s.r.o.','Ostrov'
'Clinic for Luck s.r.o.','Ostrov'
'Jitka Štěpánová','Ostrov'
'MUDr. JIŘÍ KLÍMA','Ostrov'
'AMD anestezie s.r.o.','Ostrov'
'Bc. Jana Duřtová','Ostrov'
'Barbora Březinová','Ostrov'
'MUDr. Martin Dimov','Ostrov'
'OLEKSANDR TSOKA','Ostrov'
'FoxMedical s.r.o.','Ostrov'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','Ostrov'
'MUDr. LUKÁŠ GALEK','Ostrov'
'MUDr. Pavel Giebel','Ostrov'
'Ortopedická ambulance MUDr. Luboš Galek s.r.o.','Ostrov'
'MOJE ORTOPEDIE s.r.o.','Ostrov'
'Klinická psychologie Ostrov s.r.o.','Ostrov'
'MUDr. Simona Fialová','Ostrov'
'MUDr. JIŘÍ PULEC','Ostrov nad Oslavou'
'Dualdent s.r.o.','Ostrožská Lhota'
'Mgr. et Mgr. MIROSLAV KOLÁŘ','Ostrožská Lhota'
'MUDr. Pavla Vojtíková','Ostrožská Lhota'
'PharmDr. Marie Fojtíková','Ostrožská Lhota'
'Whitedent s.r.o.','Ostrožská Nová Ves'
'Mediclinic a.s.','Otaslavice'
'PRAXILEKO s.r.o.','Otaslavice'
'MUDr. Bláha Miloš','Otinoves'
'Praktik - TK s.r.o.','Otnice'
'Lékárna U Školy s.r.o., OOVL','Otnice'
'MUDr. Roman Kudrna s.r.o.','Otrokovice'
'ORL Otrokovice s.r.o.','Otrokovice'
'MUDr. HANA KOUSALOVÁ s.r.o.','Otrokovice'
'BENU Česká republika s.r.o., BENU Lékárna','Otrokovice'
'MUDr. Radana Karásková s.r.o.','Otrokovice'
'MBINT s.r.o.','Otrokovice'
'RF dental s.r.o.','Otrokovice'
'LACRIMA oční centrum s.r.o.','Otrokovice'
'MUDr. Hana Červenková s.r.o.','Otrokovice'
'MUDr. Richard Joza s.r.o.','Otrokovice'
'MUDr. PLIČKOVÁ HELENA s.r.o.','Otrokovice'
'MUDr. PLIČKOVÁ HELENA s.r.o.','Otrokovice'
'K dental zubní ordinace s.r.o.','Otrokovice'
'Vaše laboratoře s.r.o.','Otrokovice'
'Mgr. Lenka Stacke','Otrokovice'
'MUDr. Jaroslav Kaňa','Otrokovice'
'MBINT s.r.o.','Otrokovice'
'ČESKÁ LÉKÁRNA HOLDING, a. s., Dr. Max Lékárna','Otrokovice'
'GEMINI oční optika s.r.o.','Otrokovice'
'MUDr. Miroslava Minářová s.r.o.','Otrokovice'
'NADĚJE, pobočka Zlín','Otrokovice'
'Charita Otrokovice','Otrokovice'
'OPTIKA KOTAS s.r.o.','Otrokovice'
'MUDr. Natália Poliačiková','Otrokovice'
'EUC Klinika Zlín a.s., odběrová místnost','Otrokovice'
'ELIŠKA KONEČNÁ DiS.','Otrokovice'
'ČESKÁ OČNÍ OPTIKA HOLDING a.s.','Otrokovice'
'HANA VLACHYNSKÁ, DiS.','Otrokovice'
'Lunacor s.r.o.','Otrokovice'
'PEGEPE s.r.o.','Otrokovice'
'MUDr. Libor Bártek','Otrokovice'
'Andrea Gottwaldová','Otrokovice'
'MEDICA SEVER s.r.o.','Ovčáry'
'EUC PLS s.r.o.','Ovčáry'
'K - Pharma s.r.o., Lékárna Cithara','Ovčáry'
'Gynness Brno, s. r. o.','Ořechov'
'MUDr. Filip Dörr','Ořechov'
'Mgr. Markéta Jindřichovská Brabencová','Ořechov'
'Advantis Medical s.r.o.','PRAHA'
'Pavla Pilneyová, DiS.','PRAHA'
'RP MEDICA s.r.o.','PRAHA'
'GENNET, s.r.o.','PRAHA'
'Aleš Kočí','PRAHA'
'MUDr. Martina Celecká','PRAHA'
'JST Medical Pro, s.r.o.','PRAHA'
'MUDr. David Hoskovec','PRAHA'
'Simply Health s.r.o.','PRAHA'
'OKB Lab, a.s.','PRAHA'
'Denté Clinic Prague s.r.o.','PRAHA'
'MDDr. Aleš Zápotocký','PRAHA'
'ECS Praha s.r.o.','PRAHA'
'Česká laboratorní s.r.o.','PRAHA'
'Cervenmed s.r.o.','PRAHA'
'HEDY spol. s r.o.','PRAHA'
'Dvořáková Stomatologie, s.r.o.','PRAHA'
'Poliklinika Anděl s.r.o., Ambulance NEXTCLINICS Smíchov','PRAHA'
'MUDr. Roman Procházka s.r.o.','PRAHA'
'Dejvice Dent s.r.o.','PRAHA'
'Aliaksei Apanasevich','PRAHA'
'MUDr. Lenka Sereghyová s.r.o.','PRAHA'
'VÁCLAVKA, spol.s.r.o.','PRAHA'
'B-smiledent s.r.o.','PRAHA'
'REHATERAP, s.r.o.','PRAHA'
'VK interna s.r.o.','PRAHA'
'Standard Medica s.r.o.','PRAHA'
'MDDr. Michaela Pančíková','PRAHA'
'Praktické lékařství Baxová s.r.o.','PRAHA'
'4Fusion, s.r.o.','PRAHA'
'MUDr. Karel Votava, s.r.o.','PRAHA'
'TakMED spol. s r.o.','PRAHA'
'3G Dent s.r.o.','PRAHA'
'CITYLAB spol. s.r.o., odběrová místnost','PRAHA'
'Aesthevita s.r.o.','PRAHA'
'SPORTMED, s.r.o.','PRAHA'
'Milan Polák','PRAHA'
'MUDr. Jan Reich','PRAHA'
'Rehabilitace Tylova pasáž s.r.o.','PRAHA'
'Teta drogerie a lékárny ČR s.r.o.','PRAHA'
'BENU Česká republika s.r.o., BENU lékárna','PRAHA'
'JP estetic surgery s.r.o.','PRAHA'
'Brýland Optical s.r.o.','PRAHA'
'TeamPrevent-Santé, s.r.o.','PRAHA'
'ULCERA s.r.o.','PRAHA'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','PRAHA'
'Hrabě & Cesar, s.r.o.','PRAHA'
'Zubní centrum OK-dent s.r.o.','PRAHA'
'Alergo-Imuno Praha s.r.o.','PRAHA'
'ARTMEDI UPD s.r.o.','PRAHA'
'Jana Pye, DiS.','PRAHA'
'Esthesion s.r.o.','PRAHA'
'Esthetic Services, s.r.o.','PRAHA'
'Praktický lékař Spořilov s.r.o.','PRAHA'
'Mgr. Kateřina Krejcarová','PRAHA'
'Denisa Pavlíčková DiS.','PRAHA'
'MUDr. Stanislav Hrdlička s.r.o.','PRAHA'
'Dental Zone Clinic s.r.o.','PRAHA'
'TEROTRIN s.r.o.','PRAHA'
'DOMÁCÍ PÉČE Spirit s.r.o.','PRAHA'
'Klinika Yes Visage a.s.','PRAHA'
'MEDIK HAUS s.r.o.','PRAHA'
'GGCE s.r.o.','PRAHA'
'MUDr., MUDr. Zora Šimanová','PRAHA'
'MUDr. Petr Pícha','PRAHA'
'Zdravý sport, z.s.','PRAHA'
'Centrum sportovní medicíny z.s.','PRAHA'
'Hana Perglová DiS.','PRAHA'
'ANGIO - CHIRURGIE s.r.o.','PRAHA'
'Centrum pohybové medicíny Pavla Koláře, a.s.','PRAHA'
'GLOBAL ASSISTANCE a.s.','PRAHA'
'DiaVize s.r.o.','PRAHA'
'CARE DENT s.r.o.','PRAHA'
'Petra Ledinská Janečková','PRAHA'
'Andrologie s.r.o.','PRAHA'
'Andrologie s.r.o.','PRAHA'
'BENU Česká republika s.r.o., BENU lékárna','PRAHA'
'MUDr. Martin Černý','PRAHA'
'Pilulka Lékárny a.s.','PRAHA'
'Codental s.r.o.','PRAHA'
'MUDr. Igor Slaninka','PRAHA'
'Ikrom Mirzakarimov','PRAHA'
'IRMED DENT, s.r.o.','PRAHA'
'MUDr. Helena Šmejkalová','PRAHA'
'Antonín Skokan','PRAHA'
'Gyn-H s.r.o.','PRAHA'
'Klinická logopedie - Logos Praha s.r.o.','PRAHA'
'doc. MUDr. Radim Lipina, Ph.D.','PRAHA'
'ENDOTRIAL, s.r.o.','PRAHA'
'Sanovia, a.s., Lékárna Adonia','PRAHA'
'Sanovia, a.s., Lékárna Bruska','PRAHA'
'MUDr. Fabienne Kosová','PRAHA'
'Stomatologické centrum Jarov s.r.o.','PRAHA'
'JINOMED s.r.o.','PRAHA'
'MACHRDENT s.r.o.','PRAHA'
'KS-Apatyka s.r.o., Pilulka Lékárna','PRAHA'
'MUDr. Pavla Sýkorová','PRAHA'
'Mentha s.r.o.','PRAHA'
'Centrum Terapie Autismu s.r.o.','PRAHA'
'PhDr. Lenka Burdová','PRAHA'
'MUDr. Otakar Lucák','PRAHA'
'Domov pro seniory Háje, ordinace praktického lékaře','PRAHA'
'Fresenius Medical Care - DS, s.r.o.','PRAHA'
'ArcticDent, s.r.o.','PRAHA'
'NEW DOMICIL v.o.s.','PRAHA'
'Mgr. Petra Dvořáková','PRAHA'
'MUDr. Martina Byrne s.r.o.','PRAHA'
'Synexus Czech s.r.o.','PRAHA'
'Štěpánek Dent, s.r.o.','PRAHA'
'Doctor Smile Group s.r.o.','PRAHA'
'BENU Česká republika s.r.o., BENU lékárna','PRAHA'
'RC medical s.r.o.','PRAHA'
'Genetika Ostrava s.r.o.','PRAHA'
'NL - CLINIC Gepamed s.r.o.','PRAHA'
'VEPARODENT s.r.o.','PRAHA'
'Bc. Barbora Šafránková DiS.','PRAHA'
'MDDr. Soheil Naaseri','PRAHA'
'MEDICOTTUS s.r.o.','PRAHA'
'AREPIM s.r.o.','PRAHA'
'Plastická chirurgie Poděbrady s.r.o.','PRAHA'
'AeskuLab k.s., odběrová místnost','PRAHA'
'Mgr. Eliška Haškovcová','PRAHA'
'Eva Fediuková','PRAHA'
'MALÉ ZDRAVÍ Hostivař s.r.o.','PRAHA'
'Veronika Nováková DiS.','PRAHA'
'Pediatrie Jakoubkovi s.r.o.','PRAHA'
'Tetiana Nema','PRAHA'
'EUC Laboratoře s.r.o., odběrová místnost','PRAHA'
'Chronicare Service s.r.o.','PRAHA'
'MUDr. Robert Hašek','PRAHA'
'MUDr. Lucia Mansfeldová','PRAHA'
'Institut sportovního lékařství a.s.','PRAHA'
'Endokrinologie Klánovice s.r.o.','PRAHA'
'SANUS - CARE s.r.o.','PRAHA'
'J. B. MAYZLÍK s.r.o.','PRAHA'
'Zdravotnické prodejny ELIŠKA s.r.o.','PRAHA'
'vo2max s.r.o.','PRAHA'
'Oční ordinace s.r.o.','PRAHA'
'Erika Matějková','PRAHA'
'MUDr.Vít Vokrouhlík','PRAHA'
'Mgr. Jindřich Jarý','PRAHA'
'MUDr. Roman Horný','PRAHA'
'PZL Jarov s.r.o.','PRAHA'
'RC Dental s.r.o.','PRAHA'
'PhDr. Rudolf Půlpán','PRAHA'
'MUDr. Petros Christodoulou','PRAHA'
'Bc. Kateřina Suchánková','PRAHA'
'Topdent s.r.o.','PRAHA'
'THE CLINIC MEDICAL s.r.o.','PRAHA'
'RKVDent s.r.o.','PRAHA'
'ORTHOPED-CLINIC s.r.o.','PRAHA'
'PHsurgery s.r.o.','PRAHA'
'Lensi Praha s.r.o.','PRAHA'
'Oční tkáňová banka Praha Vinohrady, z.ú.','PRAHA'
'Dent Aura s.r.o.','PRAHA'
'Floradent s.r.o.','PRAHA'
'NEFROMED s.r.o.','PRAHA'
'SVR - společnost pro vývojovou rehabilitaci o.p.s.','PRAHA'
'TrenDent s.r.o.','PRAHA'
'Kardiologie Palmovka s.r.o.','PRAHA'
'Veronika Kohoutová DiS.','PRAHA'
'doc. MUDr. Miroslav Průcha Ph.D.','PRAHA'
'DB lékárny, s.r.o.','PRAHA'
'FertiCare SE, Praha','PRAHA'
'DIONA s.r.o.','PRAHA'
'ANGIO - CHIRURGIE s.r.o.','PRAHA'
'Fluorum Dent s.r.o.','PRAHA'
'S.L.A. s.r.o.','PRAHA'
'MUDr. Jozef Petrus','PRAHA'
'MUDr. Bohdan Plichta s.r.o.','PRAHA'
'MUDr. Pavel Hlava CSc.','PRAHA'
'ANGIO - CHIRURGIE s.r.o.','PRAHA'
'REHABILITACE NUSLE s.r.o.','PRAHA'
'PsychoLad s.r.o.','PRAHA'
'Jana Norkin DiS.','PRAHA'
'RenEsthé s.r.o.','PRAHA'
'Mediclinic a.s.','PRAHA'
'CITYLAB spol. s.r.o., odběrová místnost','PRAHA'
'DENTLAND s.r.o.','PRAHA'
'MUDr. Jiří Borský','PRAHA'
'MUDr. Markéta Honzlová','PRAHA'
'AVICEL s.r.o., Lékárna WPK','PRAHA'
'Můj Dent KB s.r.o.','PRAHA'
'ImunoGen s.r.o.','PRAHA'
'Two steps ahead s.r.o.','PRAHA'
'Neurologie Praha s.r.o.','PRAHA'
'AVICENA - CHIRURGIE s.r.o.','PRAHA'
'LogArte s.r.o.','PRAHA'
'Psychiatrie BK, s.r.o.','PRAHA'
'Mgr. Klára Horáková','PRAHA'
'Psychiatrická nemocnice Bohnice - Centrum duševního zdraví','PRAHA'
'Kardiosport s.r.o.','PRAHA'
'AROPRO společnost pro anestezii s.r.o.','PRAHA'
'Zuby-Smrček s.r.o.','PRAHA'
'CITYLAB spol. s.r.o., odběrová místnost','PRAHA'
'Pain Free Care & Consultancy s.r.o.','PRAHA'
'Interna Veletržní s.r.o.','PRAHA'
'CITYLAB spol. s.r.o., odběrová místnost','PRAHA'
'MUDr. Hana Sirotková','PRAHA'
'LailaDent s.r.o.','PRAHA'
'VIDIA-DIAGNOSTIKA, spol. s r.o., odběrová místnost','PRAHA'
'Mediclinic a.s.','PRAHA'
'AeskuLab k.s., odběrová místnost','PRAHA'
'AeskuLab k.s., odběrová místnost','PRAHA'
'AeskuLab k.s., odběrová místnost','PRAHA'
'Nemocnice Yes Visage a.s.','PRAHA'
'Poliklinika I.P.Pavlova s.r.o.','PRAHA'
'LCC domácí péče, s.r.o.','PRAHA'
'HELA - CZ spol. s r.o., Ordinace ORL','PRAHA'
'Bc. Lenka Kratochvílová','PRAHA'
'MUDr. Anton Baluch','PRAHA'
'manhart s.r.o.','PRAHA'
'Fyzioland s.r.o.','PRAHA'
'MUDr. Robert Pěchula','PRAHA'
'MUDr. Roman Veselý','PRAHA'
'DENTO HYG s.r.o.','PRAHA'
'AMED-CHIRURGIE s.r.o.','PRAHA'
'MUDr. Petr Kramář','PRAHA'
'Uniclinic, s.r.o.','PRAHA'
'RABAHDENT s.r.o.','PRAHA'
'CARE MEDICO s.r.o.','PRAHA'
'Pain Free Care & Consultancy s.r.o.','PRAHA'
'Program H plus, s.r.o.','PRAHA'
'LK-MEDICAL s.r.o.','PRAHA'
'Komplexní rehabilitace Praha, s.r.o.','PRAHA'
'MUDr. Naďa Knotová','PRAHA'
'Praxe PL Barrandov s.r.o.','PRAHA'
'Bc. Sophia Eshunová Wilsonova','PRAHA'
'Neurorehabilitační klinika AXON s.r.o.','PRAHA'
'GeneCare s.r.o.','PRAHA'
'Program H plus, s.r.o.','PRAHA'
'Mgr. Iveta Hrčková','PRAHA'
'MEDICON a.s., ordinace Plynární','PRAHA'
'CITYLAB spol. s.r.o., odběrová místnost','PRAHA'
'STUDIO DENT s.r.o.','PRAHA'
'ZIRCONDENT s.r.o.','PRAHA'
'MUDr. Michaela Hložková','PRAHA'
'MUDr. Mária Petrusová','PRAHA'
'Dentaris Praha s.r.o.','PRAHA'
'MUDr. Robert Rzyman','PRAHA'
'Mediterra s.r.o.','PRAHA'
'MEDICON Pharm s.r.o., Lékárna Pharmacentrum Holešovice','PRAHA'
'DIONA s.r.o.','PRAHA'
'CLINICUM a.s.','PRAHA'
'MDDr. Lukáš Vlasák','PRAHA'
'Alergoimunoklinika s.r.o.','PRAHA'
'Centrum sportovní, pracovní a preventivní medicíny s.r.o.','PRAHA'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','PRAHA'
'MDDr. Eva Vedralová','PRAHA'
'Gynda s.r.o.','PRAHA'
'CARE & CURE Clinic s.r.o.','PRAHA'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','PRAHA'
'Vaše zubařka s.r.o.','PRAHA'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','PRAHA'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','PRAHA'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','PRAHA'
'MUDr. Jan Klimpl','PRAHA'
'Medicare4u s.r.o.','PRAHA'
'Haindlová MEDICAL, s.r.o.','PRAHA'
'Dům zubní péče s.r.o.','PRAHA'
'Pharmahead s.r.o., Lékárna INEP','PRAHA'
'Klika Dent s.r.o.','PRAHA'
'MUDr. Petr Smejkal','PRAHA'
'Ortopedie Kubiče s.r.o.','PRAHA'
'Ortopedie Kubiče s.r.o.','PRAHA'
'Chirurgie Praha 8 s.r.o.','PRAHA'
'BENU Česká republika s.r.o., BENU lékárna','PRAHA'
'BENU Česká republika s.r.o., BENU lékárna','PRAHA'
'BENU Česká republika s.r.o., BENU lékárna','PRAHA'
'BENU Česká republika s.r.o., BENU lékárna','PRAHA'
'Taradent Profi, s.r.o.','PRAHA'
'HORUS OPTIK s.r.o.','PRAHA'
'Dermavera s.r.o.','PRAHA'
'MUDr. Jiří Weiss','PRAHA'
'MUDr. Petr Eremiáš','PRAHA'
'Gynvivus s.r.o.','PRAHA'
'Fyzio svět s.r.o.','PRAHA'
'MUDr. Tarek Rashed','PRAHA'
'Klinická logopedie Vítězná s.r.o.','PRAHA'
'Bc. Markéta Scott Gasparová','PRAHA'
'Nexus fyzio s.r.o.','PRAHA'
'DROP IN, s.r.o.','PRAHA'
'Kardiologie Praha s.r.o.','PRAHA'
'AZFyzio s.r.o.','PRAHA'
'E.N.-PRAKTIK, s.r.o.','PRAHA'
'Safimed s.r.o.','PRAHA'
'Praktik port s.r.o.','PRAHA'
'Doctor Smile Group s.r.o.','PRAHA'
'Ledovys s.r.o., Lékárna Olšanka','PRAHA'
'Karolína Lhotáková DiS.','PRAHA'
'Standard Medica s.r.o.','PRAHA'
'MediCentrum JONA s.r.o.','PRAHA'
'Kardiologie prof. Táborský s.r.o.','PRAHA'
'Therapeutic Moudrá spol. s r.o.','PRAHA'
'Dům zubní péče s.r.o.','PRAHA'
'Všeobecný lékař Jih s.r.o.','PRAHA'
'Zubní implantáty s.r.o.','PRAHA'
'Domov pro seniory Elišky Purkyňové','PRAHA'
'Domov pro seniory Elišky Purkyňové','PRAHA'
'Domov pro seniory Elišky Purkyňové','PRAHA'
'Domov pro seniory Elišky Purkyňové','PRAHA'
'Alliance Healthcare s.r.o., Lékárna U Dráhy','PRAHA'
'zubní chirurgie Skalický s.r.o.','PRAHA'
'MUDr. Zuzana Srbová s.r.o.','PRAHA'
'MUDr. Eva Binková, s.r.o.','PRAHA'
'MUDr. Helena Fousková Psychiatrická ambulance s.r.o.','PRAHA'
'MUDr. Petr Fousek Alergologie a imunologie s.r.o.','PRAHA'
'MUDr. Miroslava Brejchová','PRAHA'
'Mgr. Petra Novotná','PRAHA'
'Lenka Brunová DiS.','PRAHA'
'Klinická psychologie Praha, s.r.o.','PRAHA'
'LEXAMED s.r.o.','PRAHA'
'Chirurgie Praha 8 s.r.o.','PRAHA'
'Mojeja s.r.o.','PRAHA'
'AHD s.r.o., Lékárna Sv. Anna','PRAHA'
'MUDr. Eva Krámková','PRAHA'
'Sociální služby Praha 9,z.ú.','PRAHA'
'ZETTA-GROUP s.r.o.','PRAHA'
'MDDr. Iva Šenková','PRAHA'
'ORL Tererova s.r.o.','PRAHA'
'MUDr. Dana Kodišová','PRAHA'
'Standental s.r.o.','PRAHA'
'MDDr. Patrik Pauliška','PRAHA'
'Psychiatrie Olšanská s.r.o.','PRAHA'
'Volodymyr Buriak','PRAHA'
'Bc. Lenka Zítková','PRAHA'
'VĚRA MATĚJKOVÁ','PRAHA'
'MUDr. Dita Mašatová','PRAHA'
'Česká laboratorní s.r.o., odběrová místnost','PRAHA'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','PRAHA'
'MUDr. Michaela Bendová','PRAHA'
'dp medic s.r.o.','PRAHA'
'Aproklan s.r.o., Lékárna Na Vápence','PRAHA'
'Cerad s.r.o., NEO Centrum','PRAHA'
'Psychologie Jana Němečková s.r.o.','PRAHA'
'KV Medica, s.r.o.','PRAHA'
'Altanea Clinic SE','PRAHA'
'DC Anděl s.r.o.','PRAHA'
'MUDr. Libuše Ordošová','PRAHA'
'DENT Petrovice, s.r.o.','PRAHA'
'Mgr. Magdalena Pertoldová','PRAHA'
'Medilotte s.r.o.','PRAHA'
'Praktik Braník s.r.o.','PRAHA'
'Hostivařská lékárna s.r.o.','PRAHA'
'THERAPY POINT s.r.o.','PRAHA'
'SPOTT Praha, s.r.o.','PRAHA'
'Stomatologové s.r.o.','PRAHA'
'AZ-MED s.r.o.','PRAHA'
'MySmile Lab, s.r.o.','PRAHA'
'ALFA MEDICA s.r.o.','PRAHA'
'BENU Česká republika s.r.o., BENU lékárna','PRAHA'
'BENU Česká republika s.r.o., BENU lékárna','PRAHA'
'Barbora Orendáčová','PRAHA'
'MUDr. Kateřina Hladíková','PRAHA'
'STRNAMED s.r.o.','PRAHA'
'MDDr. Epameinondas Kourousis','PRAHA'
'MUDr. Jaroslava Opatová ORL s.r.o.','PRAHA'
'Zubní Centrum Dentisto s.r.o.','PRAHA'
'Centrum psychologie Praha, s.r.o.','PRAHA'
'MUDr. Jana Jeriová','PRAHA'
'MUDr. Jana Jeriová','PRAHA'
'MUDr. Gabriela Andonová','PRAHA'
'MUDr. Gabriela Andonová','PRAHA'
'MUDr. Gabriela Andonová','PRAHA'
'MUDr. Jana Jeriová','PRAHA'
'Mgr. Jasněna Matoušková DiS.','PRAHA'
'Lékařský dům v Mezibranské s.r.o.','PRAHA'
'Dermatologie Na Dlouhém lánu s.r.o.','PRAHA'
'THUASNE SHOPS s.r.o.','PRAHA'
'MALÉ ZDRAVÍ a.s.','PRAHA'
'DrVoštěp první s.r.o.','PRAHA'
'Martin Vobořil','PRAHA'
'MUDr. Eva Machalková a spol. v.o.s.','PRAHA'
'Jana Obermajerová','PRAHA'
'ZDRAVOTNÍ PÉČE KVĚTUŠE s.r.o.','PRAHA'
'MCDental s.r.o.','PRAHA'
'Pain Free Care s.r.o.','PRAHA'
'Master ZSE s.r.o.','PRAHA'
'MUDr. Andrea Trčková s.r.o.','PRAHA'
'MUDr. Anna Rybáčková','PRAHA'
'MUDr. Jaroslav Černý','PRAHA'
'EUC Klinika Praha a.s.','PRAHA'
'MDDr. Ivana Matečková','PRAHA'
'ResTrial s.r.o., Lékárna','PRAHA'
'David Urban DiS.','PRAHA'
'MUDr. Jana Havlovičová','PRAHA'
'VIDIA-DIAGNOSTIKA, spol. s r.o., odběrová místnost','PRAHA'
'AROPRO společnost pro anestezii s.r.o.','PRAHA'
'Bc. Eliška Kývalová','PRAHA'
'Ordinace A+A s.r.o.','PRAHA'
'Mgr. Alena Krásová','PRAHA'
'Bc. Tereza Pavlovská','PRAHA'
'PSYCHOTERRA s.r.o.','PRAHA'
'MUDr. Michael Blažej, s.r.o.','PRAHA'
'Petra Filipová DiS.','PRAHA'
'STOMATOLOGIE Budečská s.r.o.','PRAHA'
'DALLE s.r.o.','PRAHA'
'Mgr. Jana Liberdová','PRAHA'
'Personalizovaná fyzioterapie, s.r.o.','PRAHA'
'BENU Česká republika s.r.o., BENU lékárna','PRAHA'
'ČESKÁ KATOLICKÁ CHARITA, Charitní domov Břevnov','PRAHA'
'Mediestetik s.r.o.','PRAHA'
'ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna','PRAHA'
'Diakonie ČCE - středisko Praha','PRAHA'
'Centrum sociální a ošetřovatelské pomoci v Praze 10','PRAHA'
'Centrum sociální a ošetřovatelské pomoci v Praze 10','PRAHA'
'Medicare4u s.r.o.','PRAHA'
'Centrum sociální a ošetřovatelské pomoci v Praze 10','PRAHA'
'Centrum sociálních služeb Praha 2, Domácí péče','PRAHA'
'Centrum sociálních služeb Praha 2, Domácí péče','PRAHA'
