"NazevZarizeni","Obec"
"Zdravotnické potřeby Skvrňany s.r.o.","Plzeň"
"TREVIN Pharm s.r.o., BENU Lékárna","Plzeň"
"Mgr. Linda Spěváčková","Plzeň"
"MUDr. Petra Brodská Ph.D.","Plzeň"
"MDDr. Pavel Kocour","Plzeň"
"TREVIN Pharm s.r.o.","Plzeň"
"GYNESAKAL s.r.o.","Plzeň"
"Tomáš Bezděk","Plzeň"
"VS LASERA s.r.o.","Plzeň"
"MUDr. Hana Hurtová - dětský lékař s. r. o.","Plzeň"
"M & M DENT s.r.o.","Plzeň"
"Věra Kolářová","Plzeň"
"MUDr. Tomáš Kunc s. r. o.","Plzeň"
"MUDr. Tomáš Kunc s. r. o.","Plzeň"
"MK Medical s.r.o.","Plzeň"
"Complexdental s.r.o.","Plzeň"
"MDDr. Jiří Altmann","Plzeň"
"OČNÍ J. Boháč s.r.o.","Plzeň"
"SANIVA 4YOU s.r.o.","Plzeň"
"DALVART s.r.o.","Plzeň"
"Gratiadent zubní centrum s.r.o.","Plzeň"
"Terekce s.r.o.","Plzeň"
"Psychiatrie-ambulance s.r.o.","Plzeň"
"MUDr. Martin Zich","Plzeň"
"PRIVAMED a.s., Městská nemocnice Plzeň","Plzeň"
"PRIVAMED a.s., Městská nemocnice Plzeň","Plzeň"
"Zdravotnické potřeby - U pošty, s.r.o.","Plzeň"
"MUDr. Vladimír Kaplan","Plzeň"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Plzeň"
"PRIVAMED Healthia s.r.o.","Plzeň"
"Roman Cipra","Plzeň"
"doc. MUDr. Hana Čepeláková, CSc.","Plzeň"
"Ivona Bartůšková","Plzeň"
"Zdravotnická záchranná služba Plzeňského kraje, příspěvková organizace","Plzeň"
"MUDr. Míťa Rosenberg","Plzeň"
"Regionální institut duševního zdraví, s.r.o.","Plzeň"
"MUDr. Vlasta Linhartová, praktická lékařka pro dospělé s.r.o.","Plzeň"
"Bc. Michaela Zimolová","Plzeň"
"MUDr. Simona Baxová","Plzeň"
"Ivana Bäumlová","Plzeň"
"Fakultní nemocnice Plzeň - lékařská genetika","Plzeň"
"MUDr. Helena Honomichlová","Plzeň"
"PhDr., Bc. Blanka Gruberová Ph.D.","Plzeň"
"MUDr. Slavomír Žídek","Plzeň"
"Bc. Zuzana Kořenská","Plzeň"
"Bioptická laboratoř s.r.o.","Plzeň"
"MUDr. Jaroslava Moravcová","Plzeň"
"PLZEŇSKÁ LOGOPEDIE s.r.o.","Plzeň"
"VEREDENTAL s.r.o.","Plzeň"
"EUROPA Trade Service s.r.o.","Plzeň"
"Domov - plzeňská hospicová péče, z.ú.","Plzeň"
"C - ORTO s.r.o.","Plzeň"
"RECLINO - centrum komplexní péče s.r.o.","Plzeň"
"Medincline s.r.o.","Plzeň"
"MUDr. Miroslava Hadravová","Plzeň"
"MUDr. Vladivoj Tuzar - IMEX IMPRO Export Corporation","Plzeň"
"Kopeckého pramen a.s.","Plzeň"
"Mgr. Pavlína Šedivcová","Plzeň"
"Univerzita Karlova, Lékařská fakulta v Plzni","Plzeň"
"MUDr. Jan Říčař","Plzeň"
"MUDr. Jana Lejsková","Plzeň"
"MUDr. Č. Born - gynekologie, privat.lékař.praxe","Plzeň"
"MUDr. Stanislav Machart","Plzeň"
"MUDr. Tomáš Doležel","Plzeň"
"MEDICA SEVER s.r.o.","Plzeň"
"MUDr. Jan Lejčko","Plzeň"
"Stomatologie Plzeň s.r.o.","Plzeň"
"Zdravotnická záchranná služba Plzeňského kraje, příspěvková organizace","Plzeň"
"GrandVision CZ s.r.o.","Plzeň"
"GrandVision CZ s.r.o.","Plzeň"
"Bc. Hana Hanžlová","Plzeň"
"Marie Jílková, DiS.","Plzeň"
"MUDr. Alexandra Pěchoučková","Plzeň"
"Mgr. Vladimír Stuchl","Plzeň"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Plzeň"
"Plastická a estetická chirurgie MUDr. Inka Třešková, s.r.o.","Plzeň"
"MUDr. Soňa Heisová","Plzeň"
"MEDI - Santé, s.r.o.","Plzeň"
"MUDr. Milada Tomčíková","Plzeň"
"DENSYN s.r.o.","Plzeň"
"MDDr. Jaroslav Bárta","Plzeň"
"MUDr. Hana Botková s.r.o.","Plzeň"
"ChirugieT s.r.o.","Plzeň"
"ZuBy s.r.o.","Plzeň"
"Ledovec, z.s.","Plzeň"
"Sisimedica s.r.o.","Plzeň"
"HomeoDent s.r.o.","Plzeň"
"PaeDr. Blanka Gruberová, logopedie","Plzeň"
"Sisimedica s.r.o.","Plzeň"
"Sisimedica s.r.o.","Plzeň"
"TeamPrevent-Santé, s.r.o.","Plzeň"
"Hana Handlová DiS.","Plzeň"
"Bc. Kateřina Frouzová","Plzeň"
"ALEPE s.r.o., Salon andělské krásy","Plzeň"
"Bc. Martin Knaizl","Plzeň"
"Léčím prakticky s.r.o.","Plzeň"
"MUDr. Petr Zeman Ph.D., MBA","Plzeň"
"Nemocnice u Sv. Jiří s.r.o., PL pro děti a dorost","Plzeň"
"MUDr. Petr Zeman Ph.D., MBA","Plzeň"
"MI-Medica s.r.o.","Plzeň"
"MUDr. Lenka Kušičková s.r.o.","Plzeň"
"BO-Medical s.r.o.","Plzeň"
"BO-Medical s.r.o.","Plzeň"
"Bc. Eva Školová","Plzeň"
"MUDr. Zdeněk SVOBODA - gynekologie s.r.o.","Plzeň"
"WinPeaks s.r.o.","Plzeň"
"MUDr. Marie Makrlíková s.r.o.","Plzeň"
"Dětská doktorka Plzeň s.r.o.","Plzeň"
"Jambura Dent s.r.o.","Plzeň"
"DANAMED s.r.o.","Plzeň"
"WinPeaks s.r.o.","Plzeň"
"NADAG s.r.o.","Plzeň"
"Privátní gynekologická praxe s.r.o.","Plzeň"
"MUDr. Sylva Racková","Plzeň"
"Mgr. Barbora O´Neill","Plzeň"
"VS LASERA PRO s.r.o.","Plzeň"
"Karel Neumann","Plzeň"
"PhDr. Michal Rukavička","Plzeň"
"Zubní praxe Karlovarská s.r.o.","Plzeň"
"JANA CLinic s.r.o.","Plzeň"
"OptiDent s.r.o.","Plzeň"
"M.A. Zubní péče, s.r.o.","Plzeň"
"Rehabilitace pro Vás s.r.o.","Plzeň"
"Dental Planet s.r.o.","Plzeň"
"Knaizl dent s.r.o.","Plzeň"
"Praktik Bory s.r.o.","Plzeň"
"Zubní praxe MUDr. Černá Polachová s.r.o.","Plzeň"
"MUDr. Švantnerová Eva, zubní praxe s.r.o.","Plzeň"
"VKV dent s.r.o.","Plzeň"
"MUDr. Lenka Jílková","Plzeň"
"Heracleum s.r.o., Lékárna Remus","Plzeň"
"MEDANNA praktický lékař, s.r.o.","Plzeň"
"Bc. Barbora Votíková","Plzeň"
"Mgr. Štěpánka Korcová","Plzeň"
"Ortopedie Frydrych s.r.o.","Plzeň"
"Kolotoč Plzeň s.r.o.","Plzeň"
"V&V Medical s.r.o.","Plzeň"
"Ladislav Starý","Plzeň"
"Petr Tahovský","Plzeň"
"doc. MUDr. Hana Čepeláková, CSc.","Plzeň"
"Bc. Gabriela Strychová","Plzeň"
"DIEKO plus s.r.o.","Plzeň"
"Diecézní charita Plzeň","Plzeň"
"Esthé Laser Plzeň, s.r.o.","Plzeň"
"MUDr. Petra Machálková","Plzeň"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Plzeň"
"Zdravotnické a pečovatelské služby MUDr. Schleiss s.r.o.","Plzeň"
"Bc. Matěj Indra","Plzeň"
"PRAKTIL s.r.o.","Plzeň"
"DERMAFIT CENTRUM s.r.o.","Plzeň"
"DOPRAVNÍ A ZÁCHRANNÁ SLUŽBA s.r.o.","Plzeň"
"Praktik Štěpánková s.r.o.","Plzeň"
"Psychiatrie - psychoterapie s.r.o.","Plzeň"
"Apolona Dental s.r.o.","Plzeň"
"Uni-praxe s.r.o.","Plzeň"
"DJ Dent s.r.o.","Plzeň"
"Petra Bečvářová DiS.","Plzeň"
"QMI Centrum prevence, s.r.o.","Plzeň"
"UNIDENTAL s.r.o.","Plzeň"
"MUDr. Andrea Bendová","Plzeň"
"MUDr. Lucie Sekaninová","Plzeň"
"ORL zdravotní s.r.o.","Plzeň"
"MUDr. Jan Chvojka","Plzeň"
"M.P. - ortodoncie","Plzeň"
"J + A zdravotnické potřeby, spol. s r. o.","Plzeň"
"Petr Šifalda","Plzeň"
"DOMOVINKA - sociální služby, o.p.s.","Plzeň"
"MUDr. Ivana Hrubá","Plzeň"
"MEDIKI, s.r.o.","Plzeň"
"MUDr. Pavel Tomeš","Plzeň"
"MUDr. František Soukup","Plzeň"
"Psychiatrie-ambulance s.r.o., Centrum duševního zdraví","Plzeň"
"Protetika PLZEŇ s.r.o.","Plzeň"
"Protetika PLZEŇ s.r.o.","Plzeň"
"Teco-dent s.r.o.","Plzeň"
"Klinická logopedie Švajcrová s.r.o.","Plzeň"
"MEDICA SEVER s.r.o.","Plzeň"
"Chirurgie a mamologie s.r.o.","Plzeň"
"Maonel s.r.o.","Plzeň"
"SeneCura SeniorCentrum MOPT a.s.","Plzeň"
"Diecézní charita Plzeň","Plzeň"
"ReMy Fyzio s.r.o.","Plzeň"
"Pediatrie Slovany s.r.o.","Plzeň"
"Monika Peclová","Plzeň"
"MUDr. Jaroslav Štimpl","Plzeň"
"MDDr. Adéla Petelíková","Plzeň"
"Mgr. VÍT HRDLIČKA","Plzeň"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Plzeň"
"Diviciacus s.r.o.","Plzeň"
"MUDr. Zuzana Kozlíková","Plzeň"
"Pavla Luhanová DiS.","Plzeň"
"Bc. Marie Šafrhansová","Plzeň"
"MUDr. Jaroslav Zeman, Ph.D.","Plzeň"
"Bc. Adéla Dankovičová","Plzeň"
"MUDr. Jonáš Kudela","Plzeň"
"DIEKO, s.r.o.","Plzeň"
"Mgr. Petra Sumcovová","Plzeň"
"Městská poliklinika Plzeň, spol. s r.o.","Plzeň"
"MEDICENTRUM BIOMED s.r.o.","Plzeň"
"FyzioAlena s.r.o.","Plzeň"
"IVF Zentren Prof. Zech - Pilsen s.r.o.","Plzeň"
"Medicora Plus s.r.o.","Plzeň"
"MUDr. Miroslava Vandová","Plzeň"
"ProCare Medical s.r.o.","Plzeň"
"RNDr. Jana Řehulová, Lékárna U Zlatého lva","Plzeň"
"Diamedics, s.r.o., Výdejna prostředků zdravotnické techniky","Plzeň"
"OrigDent s.r.o.","Plzeň"
"Ergoterapie Plzeň s.r.o.","Plzeň"
"MUDr. Miroslav Dolejš s.r.o.","Plzeň"
"Gyncare MUDr. Michael Švec s.r.o.","Plzeň"
"Ordinace PL Košutka s.r.o.","Plzeň"
"dioptra optik s.r.o.","Plzeň"
"Bc. Natálie Malinovská","Plzeň"
"Deemyad Smile Design Studio s.r.o.","Plzeň"
"VB dent s.r.o.","Plzeň"
"MUDr. Kamila Hirschfeldová s.r.o.","Plzeň"
"dioptra optik s.r.o.","Plzeň"
"MUDr. Veronika Sýkorová","Plzeň"
"Senior residence Terasy z.ú.","Plzeň"
"Mgr. Vendula Šťastná","Plzeň"
"FOKUS optik a.s.","Plzeň"
"FOKUS optik a.s.","Plzeň"
"FOKUS optik a.s.","Plzeň"
"Neuroscience s.r.o.","Plzeň"
"ALFA MEDICA s.r.o.","Plzeň"
"Dětský lékař Skvrňany s.r.o.","Plzeň"
"Bc. Jana Kubečková","Plzeň"
"MUDr. Jana Bytelová","Plzeň"
"Bc. Tomáš Votík","Plzeň"
"MUDr. Eva Jílková","Plzeň"
"Odborné zdravotnické zařízení s.r.o.","Plzeň"
"Magdalena Roušalová DiS.","Plzeň"
"MUDr. Josef Rosenberg","Plzeň"
"Záchranná služba BRDY, sdružení pro záchranu osob a materiálu v terénních podmínkách, z.s.","Plzeň"
"SYKORAS s.r.o.","Plzeň"
"GynV s.r.o.","Plzeň"
"Bc. MICHALA ŠMÍDOVÁ DiS.","Plzeň"
"ZDRAVOTNICKÉ POTŘEBY DOUBRAVKA s.r.o.","Plzeň"
"GYN-IKRA s.r.o.","Plzeň"
"Gynekologie Femivita s.r.o.","Plzeň"
"B. Braun Avitum s.r.o., urologie","Plzeň"
"OakMed s.r.o.","Plzeň"
"Bc. Lucie Čepeláková","Plzeň"
"B. Braun Avitum s.r.o., vnitřní lékařství","Plzeň"
"MUDr. Gabriela Valašiková","Plzeň"
"OptikDoDomu s.r.o.","Plzeň"
"Pavlína Pospíšilová","Plzeň"
"Zdravotní ústav se sídlem v Ústí nad Labem, pracoviště Plzeň","Plzeň"
"MUDr. Hana Vracovská, stomatologická ordinace (dosp. i děti)","Plánice"
"MUDr. Jiří Klouda","Plánice"
"GYNEPROFI s.r.o.","Plánice"
"MUDr. Miroslav Plichta","Poběžovice"
"MUDr. Taťána Jiřincová, ordinace praktického zubního lékaře","Poběžovice"
"Marta Mikolášová,  DiS. Centrum Fyzio MM","Poběžovice"
"GYNEKOLOGIE DOMAŽLICE s.r.o.","Poběžovice"
"Všeobecné praktické lékařství ""Pod Korábem"",s.r.o.","Pocinovice"
"MUDr. Petr Ráliš","Podbořany"
"MUDr. Jozefína Kyzeková","Podbořany"
"MUDr. Ivana Šterclová","Podbořany"
"MUDr. Irena Tupá","Podbořany"
"Václav Krejčík","Podbořany"
"MUDr. Halina Špeniková","Podbořany"
"MUDr. Záhorský Vladimír","Podbořany"
"MUDr. Jiří Peksa","Podbořany"
"Špergl s.r.o., Lékárna U Zlatého anděla","Podbořany"
"MUDr. Marie Storčáková","Podbořany"
"MUDr. Ladislava Růžková","Podbořany"
"MEDICINA, spol. s r.o.","Podbořany"
"MUDr. Eva Mašínová","Podbořany"
"Zdravotnická záchranná služba Ústeckého kraje, příspěvková organizace","Podbořany"
"MUDr. Záhorský Vladimír","Podbořany"
"SlaM-centrum služeb s.r.o.","Podbořany"
"Psychiatrická léčebna Petrohrad, p.o., ambulance","Podbořany"
"Psychetherapy s.r.o.","Podbořany"
"Jana Teclová","Podbořany"
"Oculex spol. s r.o.","Podbořany"
"MUDr. Marta Worschová, s.r.o.","Podbořany"
"Endokrinologie Rausová s.r.o.","Podbořany"
"Alena Hromádková","Podbořany"
"AeskuLab k.s.","Podbořany"
"Chirurgie Nabbout s.r.o.","Podbořany"
"Domov pro seniory Podbořany, příspěvková organizace","Podbořany"
"Vladislav Korecký","Podbořany"
"Rehabilitace Ilona Jesínková s.r.o.","Podbořany"
"MUDr. Petra Rychlá, s.r.o.","Podbořany"
"MZPO gynekologie s.r.o.","Podbořany"
"HURTSAN s. r. o.","Podbořany"
"MUDr. Záhorský Vladimír","Podbořany"
"TECTUM spol. s r.o.","Podbořany"
"PadaDent s.r.o.","Podbořany"
"MUDr. Michaela Strejčková","Podhorní Újezd a Vojice"
"MUDr. Jiří Švestka","Podivín"
"Mgr. Čestmír Nedorost, Lékárna Podivín","Podivín"
"Bedřiška Švestková","Podivín"
"MUDr. Petra Vorlická","Podivín"
"MUDr. Zbyněk MUCHA s.r.o.","Podivín"
"MDDr. Dagmar Osičková","Podivín"
"Praktický lékař Podivín s.r.o.","Podivín"
"Marie Svobodová","Podolí"
"MUDr. Helena Stoklásková","Podolí"
"Helena Zedníčková","Podolí"
"Ilona Špičková","Podolí"
"MUDr. Marie Matějíková","Podolí"
"HelpDental s.r.o.","Podolí"
"MUDR. MARTIN SLAVÍK","Podsedice"
"MUDr. Věra Baudyšová","Podveky"
"MUDr. Ctibor Dub","Poděbrady"
"RTG Poděbrady s. r. o.","Poděbrady"
"Lázně Poděbrady a.s.","Poděbrady"
"Lázně FELICITAS s. r. o., Hotel Orfeus","Poděbrady"
"Praktický lékař pro děti a dorost MUDr. Karel Severa","Poděbrady"
"MUDr. Lidmila Bednaříková, soukromá lékař.praxe","Poděbrady"
"MUDr. Alena Fričová","Poděbrady"
"MUDr. Zdeněk Podlesný, FEMINA - GYN - PRIVAT, gynekologie a porodnictví","Poděbrady"
"MUDr. Zdeňka Chadimová","Poděbrady"
"MUDr. Jiří Vaněk","Poděbrady"
"DENTTECHNIK, s. r. o.","Poděbrady"
"MUDr. Anna Preislerová, praktic. lékař pro děti","Poděbrady"
"MUDr.Květoslava Herčíková, praktic.lékař pro dět.","Poděbrady"
"MUDr. Alena Gašparová, prakt.lékař pro děti","Poděbrady"
"MUDr. Miloslava Kupcová, soukr, oftalmolog","Poděbrady"
"MUDr. Věra Abrahamová","Poděbrady"
"Jana Burešová, prodejna zdravotnických potřeb","Poděbrady"
"MUDr. Dagmar Košařová","Poděbrady"
"MUDr. Tomáš Truneček, gynekologie-porodnictví","Poděbrady"
"MUDr. Zdena Soustružníková","Poděbrady"
"PaedDr. Naděžda Pácalová, soukromá ordinace logopedie","Poděbrady"
"MUDr. Alžběta Chrzová","Poděbrady"
"MUDr. Jarmila Cenková, soukromý stomatolog","Poděbrady"
"MUDr. Ilona Paráčková, soukromý stomatolog","Poděbrady"
"MUDr. Pavel Raba, stomatolog","Poděbrady"
"MUDr. Romana Husáková","Poděbrady"
"MUDr. Pavel Chrz","Poděbrady"
"MUDr. Jaroslav Pivoňka, soukromý praktic.a inter lékař","Poděbrady"
"MUDr.Pavel Frič","Poděbrady"
"MUDr. Zdeněk Koudelka","Poděbrady"
"Mgr. Iva Bajtlerová, klinická logopedie-reedukace vad řeči a sluchu","Poděbrady"
"Ivana Kubánková, fyzioterapie","Poděbrady"
"MUDr. Pavel Zezula","Poděbrady"
"Centrum sociálních a zdravotních služeb Poděbrady o. p. s.","Poděbrady"
"MUDr. Petr Pavlásek","Poděbrady"
"MUDr. Milan Vaněk","Poděbrady"
"AeskuLab k.s.","Poděbrady"
"TRAUMA, spol. s r.o.","Poděbrady"
"Valérie Keltnerová, Regenerační centrum IRIS","Poděbrady"
"MUDr. Jan Luxemburk","Poděbrady"
"LUXOR Poděbrady, poskytovatel sociálních služeb","Poděbrady"
"Lázně Poděbrady, a.s., Lázeňská lékárna","Poděbrady"
"Lázně FELICITAS, s.r.o., Spa Hotel Felicitas","Poděbrady"
"MUDr.Richard Havránek,s.r.o.","Poděbrady"
"LAPOD s.r.o.","Poděbrady"
"Lázně Poděbrady, a.s.","Poděbrady"
"MUDr. Jaroslava Lórenczová","Poděbrady"
"Lázně Nymburk, s.r.o.","Poděbrady"
"Medicentrum Amadeus s.r.o.","Poděbrady"
"MUDr. Miroslava Doležalová","Poděbrady"
"MUDr. Radka Černá","Poděbrady"
"Bc. Vladimíra Vlasáková Vlková, OPTIC STUDIO","Poděbrady"
"Chiropraxe - MUDr. TOMAN s.r.o.","Poděbrady"
"LÉKÁRNA V ALEJI s.r.o.","Poděbrady"
"MAGISTRA a.s., Magistra NOVÁ LÉKÁRNA","Poděbrady"
"Jan Chrtek, DiS., CHRTEK OPTIK","Poděbrady"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Poděbrady"
"Proxová s.r.o.","Poděbrady"
"Anima Sana s.r.o.","Poděbrady"
"Lékárna Poděbrady s.r.o.","Poděbrady"
"MEDCOR plus s.r.o.","Poděbrady"
"Ordinace Poděbrady s.r.o.","Poděbrady"
"Pilulka Lékárny a.s.","Poděbrady"
"Trendy Dental s.r.o.","Poděbrady"
"MUDr. Garayová Šárka s.r.o.","Poděbrady"
"GYNEKOLOGIE Klumpar s.r.o.","Poděbrady"
"JP Dent s.r.o.","Poděbrady"
"MUDr. Peter Frič","Poděbrady"
"Božena Brzáková","Poděbrady"
"Dalibor Horáček","Poděbrady"
"RESPIRO s.r.o.","Poděbrady"
"NEUROPOD s.r.o.","Poděbrady"
"Mgr. Ivana Vláčilová","Poděbrady"
"BonoMedico s.r.o.","Poděbrady"
"MDDr. Adam Misař","Poděbrady"
"Lázně Poděbrady, a.s.","Poděbrady"
"Lázně Poděbrady, a.s.","Poděbrady"
"Lázně Poděbrady, a.s.","Poděbrady"
"Lázně Poděbrady, a.s.","Poděbrady"
"MUDr. Pavel Zezula","Poděbrady"
"Lázně Poděbrady, a.s.","Poděbrady"
"MUDr. Jan Jandejsek s.r.o.","Poděbrady"
"Vladimír Barták","Poděbrady"
"PhDr. Jiří Zíka","Poděbrady"
"Vanda Černá","Poděbrady"
"Medicalface s.r.o.","Poděbrady"
"MUDr. Ludmila Pohlová","Poděbrady"
"Karel Vyhlídal","Poděbrady"
"Ortopedie Vinš s.r.o.","Poděbrady"
"VenArt s.r.o.","Poděbrady"
"MUDr. Ildiko Hricová Rosičková","Poděbrady"
"MUDr. Oldřich Baumgartner","Poděbrady"
"VIDIA-DIAGNOSTIKA, spol. s r.o., odběrová místnost","Poděbrady"
"DERMA dermatologické centrum MUDr. Andrea Cabrnochová s.r.o.","Poděbrady"
"Zubní středisko Poděbrady spol. s r.o.","Poděbrady"
"Ordinace Kopidlno s.r.o.","Poděbrady"
"LENKA VONDROVÁ DiS.","Poděbrady"
"DENTTECHNIK, s. r. o.","Poděbrady"
"VenArt s.r.o.","Poděbrady"
"Zubařka Poděbrady s. r. o.","Poděbrady"
"AZ EsteDent s.r.o.","Poděbrady"
"HVĚZDA SK s.r.o.","Poděbrady"
"Plastická chirurgie Poděbrady s.r.o.","Poděbrady"
"Polabská zdravotní s.r.o.","Poděbrady"
"Centrum rehabilitace a integrované medicíny, a.s.","Poděbrady"
"Rehabilitace Poděbrady s.r.o.","Poděbrady"
"Mgr. Martina Miklovičová","Poděbrady"
"MUDr. Pučalík s.r.o.","Pohled"
"MUDr. Marie Mikešová - praktický lékař pro děti a dorost","Pohorská Ves"
"Jaroslav Norek","Pohořelice"
"MUDr. Pavel Kosek","Pohořelice"
"Eva Kopečná","Pohořelice"
"Lékárna ARNICA Pohořelice","Pohořelice"
"MUDr. Petr Vališ","Pohořelice"
"Zdravotnická záchranná služba Jihomoravského kraje, příspěvková organizace","Pohořelice"
"GYNRJ spol. s r.o.","Pohořelice"
"Cyrmex s.r.o., Lékárna Cyrmex","Pohořelice"
"MUDr. Lucie Pulkrábková","Pohořelice"
"MUDr. Hana Kvapilová","Pohořelice"
"Interní a pneumologická ambulance s.r.o.","Pohořelice"
"MUDr. Josef Hrabovský s.r.o.","Pohořelice"
"Neurofyzionet, spol. s r.o.","Pohořelice"
"MUDr. Václav Kůra","Pohořelice"
"MUDr. Gabriela Badanková","Pohořelice"
"General Practitional s.r.o.","Pohořelice"
"Ivana Zemanová","Pohořelice"
"Soukromá zubní ordinace Pohořelice s.r.o.","Pohořelice"
"Doktor Pohořelice, s.r.o.","Pohořelice"
"MUDr. Dalibor Janeček, Ph.D.","Pohořelice"
"DAPA Gyncentrum s.r.o.","Pohořelice"
"Oftapoint s.r.o.","Pohořelice"
"Bc. Lucie Bilíčková","Pohořelice"
"Pediatr Pohořelice s.r.o.","Pohořelice"
"Top Optik s.r.o.","Pohořelice"
"Zubní ordinace MDDr. Vítězslav Kučera s.r.o.","Pohořelice"
"MDDr. Ondřej Bořil, s.r.o.","Pohořelice"
"Medicus Polepy s.r.o.","Polepy"
"Květoslava Maroušková, zubní laboratoř","Polevsko"
"MUDr. Zdeněk Venclík","Polešovice"
"KALDENT, s.r.o.","Polešovice"
"1. lékárenská Kyjov s.r.o., Lékárna","Polešovice"
"Ordinace Heliovi s.r.o.","Polešovice"
"Dentální praxe s.r.o.","Polešovice"
"MUDr. Milan TALAŠ, praktický lékař pro dospělé, s.r.o.","Polešovice"
"MUDr. Igor Rokyta, Michalská 1695, 686 03 Staré Město","Polešovice"
"Stomatologická ordinace MUDr. Jančarová, s.r.o.","Polešovice"
"Pediatr Polešovice s.r.o.","Polešovice"
"MUDr. Josef Tesař","Police"
"GEUM s.r.o., Lékárna Kuklík","Police nad Metují"
"PharmDr. Jiří Pavel, Městská lékárna","Police nad Metují"
"MUDr. Jan Kubec","Police nad Metují"
"ZNL spol. s r.o.","Police nad Metují"
"Hynek Rožnovský","Police nad Metují"
"MUDr. Daniel Blažek","Police nad Metují"
"FALTA s.r.o.","Police nad Metují"
"VISUS, spol. s r.o.","Police nad Metují"
"Sanitky Police nad Metují, s.r.o.","Police nad Metují"
"Kožní s.r.o.","Police nad Metují"
"Helena Prouzová - ORL s.r.o.","Police nad Metují"
"MEDICA - LANGER s.r.o.","Police nad Metují"
"Int-dia Basil Richter, s.r.o.","Police nad Metují"
"Chirurgická ambulance Kanzouri Ibrahim s.r.o.","Police nad Metují"
"MUDr. Marcela Výravská s.r.o.","Police nad Metují"
"PS spol. s r. o.","Police nad Metují"
"PRAKTIK - Police nad Metují, s.r.o.","Police nad Metují"
"MUDr. Věra Kohoutová, s.r.o","Police nad Metují"
"Domov důchodců Police nad Metují","Police nad Metují"
"Urologie Police nad Metují s.r.o.","Police nad Metují"
"JANA ČELKOVÁ","Police nad Metují"
"Dermpharma s.r.o., Lékárna Na Středisku","Police nad Metují"
"MUDr. Jana Bartoňová","Police nad Metují"
"MUDr. Janeček Pavel,ortoped pro děti a dospělé, rehabilitační ambulance","Polička"
"MUDr. Eva Dobiášová","Polička"
"MUDr. Pavel Kössler","Polička"
"MUDr. Leona Kašparová","Polička"
"Ludmila Kozáčková","Polička"
"MUDR. MALÝ, UŠNÍ, NOSNÍ, KRČNÍ","Polička"
"MUDr. Vlastimil Slezáček","Polička"
"Oblastní charita Polička","Polička"
"MUDr. Vladimír Líška Ph.D.","Polička"
"MUDr. Kubeš, ortoped","Polička"
"MUDr. Pavel Havíř","Polička"
"MUDr. Jiří Toman - Chirurgická ambulance","Polička"
"MUDr. Miloslav Kapras - Chirurgická ambulance","Polička"
"MUDr. Miroslava Ludvíková","Polička"
"MUDr. Jitka Sejkorová","Polička"
"Pavel Kössler, stomatologická laboratoř","Polička"
"MUDr. Eva Gapová","Polička"
"MEDESA s.r.o.","Polička"
"MUDr. Martin Plšek","Polička"
"Poličská nemocnice, s.r.o.","Polička"
"Zdravotnická záchranná služba Pardubického kraje, Územní odbor Svitavy","Polička"
"MUDr. Jaroslav Haman","Polička"
"Tomanová lékárny s.r.o., Nová lékárna","Polička"
"Tomanová lékárny s.r.o., Nová lékárna","Polička"
"Rehabilitace Spálenková s.r.o.","Polička"
"Rehabilitace Spálenková s.r.o.","Polička"
"Medicapharma s.r.o., Lékárna na Poliklinice","Polička"
"ČESKÁ LÉKÁRNA HOLDING, a.s., Dr. Max Lékárna","Polička"
"MUDr. Marian Kuchar, CSc.","Polička"
"MUDr. Lubomír Jílek s.r.o.","Polička"
"Rehabilitace Vital s.r.o.","Polička"
"ADADENT s.r.o.","Polička"
"Psychiatrická ambulance Polička s.r.o.","Polička"
"Gyncentrum Diana s.r.o.","Polička"
"DermaComfort s.r.o.","Polička"
"INTERNA POLIČKA s.r.o.","Polička"
"Ordinace Pávkovi s.r.o.","Polička"
"MDDr. Irena Elčknerová","Polička"
"Praktický lékař Polička s.r.o.","Polička"
"MUDr. Jana Šíchová","Polička"
"Bc. Soňa Horká DiS.","Polička"
"AMBULANCE KLINICKÉ LOGOPEDIE s.r.o.","Polička"
"MUDr. PETRA ELIÁŠOVÁ","Polička"
"KK ZUBNÍ LÉKAŘSTVÍ s.r.o.","Polička"
"Stomatologie Ševčík s.r.o.","Polička"
"MUDr. SVATAVA VEČEŘOVÁ","Polička"
"Petronela Vahalíková","Polička"
"KK ZUBNÍ LÉKAŘSTVÍ s.r.o.","Polička"
"MUDr. Ivo Porteš","Polička"
"PRAKTIK SVITAVY s.r.o.","Polička"
"Ortosanatio s.r.o.","Polička"
"MUDr. ALENA DVOŘÁKOVÁ","Polička"
"Ambulance fyzioterapie s.r.o.","Polička"
"MUDr. Václav Fiala","Poličná"
"Jaroslav Málek","Polná"
"MUDr. Petr Šimek, praktický zubní lékař","Polná"
"MUDr. Libuše Nováková","Polná"
"MUDr. Jaroslava Hájková","Polná"
"Stomatologická laboratoř Polná v.o.s.","Polná"
